"","iphonedisunc","iphonedisneg","iphoneperpos","iphonedispos","htcdispos","iphoneperneg","iphoneperunc","samsungperpos","samsungdispos","samsungdisneg","samsungperneg","galaxysentiment"
"1",0,0,0,0,0,0,0,0,0,0,0,"5"
"2",0,0,0,0,0,0,0,0,0,0,0,"5"
"3",0,0,0,0,0,0,0,0,0,0,0,"5"
"4",0,0,0,0,0,0,1,0,0,0,0,"0"
"5",0,4,0,0,0,0,0,0,0,0,0,"5"
"6",0,0,0,0,0,0,0,0,0,0,0,"5"
"7",0,0,10,4,0,0,0,0,0,0,0,"5"
"8",0,0,0,0,0,0,0,0,0,0,0,"5"
"9",0,0,0,0,0,0,0,0,0,0,0,"5"
"10",0,0,0,0,0,0,0,0,0,0,0,"5"
"11",0,0,4,1,0,0,0,0,0,0,0,"5"
"12",0,0,0,0,0,0,0,0,0,0,0,"5"
"13",0,0,0,0,0,0,0,0,0,0,0,"5"
"14",0,0,0,0,0,0,0,0,0,0,0,"5"
"15",1,0,0,2,0,0,0,0,0,0,0,"3"
"16",0,0,0,0,0,0,0,0,0,0,0,"5"
"17",0,0,0,0,0,0,0,0,0,0,0,"5"
"18",0,10,5,0,0,0,0,0,0,0,0,"5"
"19",0,0,0,0,0,0,0,0,0,0,0,"5"
"20",0,1,5,0,0,0,0,0,0,0,0,"5"
"21",0,0,1,0,0,0,0,0,0,0,0,"5"
"22",0,0,3,0,0,0,0,3,0,0,0,"5"
"23",0,0,0,1,0,0,1,0,0,0,0,"2"
"24",0,0,0,0,0,0,0,0,0,0,0,"5"
"25",0,0,0,0,0,0,0,0,0,0,0,"0"
"26",0,0,0,0,0,0,0,0,0,0,0,"5"
"27",0,0,0,0,0,0,0,0,0,0,0,"0"
"28",0,3,0,0,0,0,0,0,0,0,0,"5"
"29",4,0,0,1,0,0,0,0,0,0,0,"3"
"30",0,0,0,0,0,0,0,0,0,0,0,"5"
"31",0,9,0,0,0,0,0,0,0,0,0,"5"
"32",1,0,0,0,0,0,1,0,0,0,0,"0"
"33",0,0,0,1,0,0,0,0,0,0,0,"3"
"34",1,5,0,0,0,5,0,0,0,5,5,"4"
"35",0,0,0,0,0,0,1,0,0,0,0,"5"
"36",4,0,0,0,0,0,0,0,0,0,0,"3"
"37",0,0,0,0,0,0,0,0,0,0,0,"5"
