"","iphone","iphonedisunc","iphonedisneg","iphoneperpos","iphonedispos","iphonecampos","iphonecamunc","iphoneperneg","iphoneperunc","iphonesentiment.1","iphonesentiment"
"1",0,0,0,0,0,1,7,0,0,"0","1"
"2",0,0,0,0,0,0,0,0,0,"0","1"
"3",1,0,0,0,0,0,0,0,0,"5","6"
"4",11,0,0,0,0,3,1,0,1,"5","6"
"5",0,0,4,0,0,0,0,0,0,"0","1"
"6",1,0,0,0,0,0,0,0,0,"5","6"
"7",0,0,0,10,4,0,0,0,0,"0","1"
"8",0,0,0,0,0,0,2,0,0,"0","1"
"9",0,0,0,0,0,0,0,0,0,"0","1"
"10",2,0,0,0,0,0,0,0,0,"5","6"
"11",0,0,0,4,1,0,0,0,0,"0","1"
"12",4,0,0,0,0,0,0,0,0,"5","6"
"13",0,0,0,0,0,2,0,0,0,"0","1"
"14",1,0,0,0,0,0,0,0,0,"5","6"
"15",1,1,0,0,2,0,0,0,0,"3","4"
"16",1,0,0,0,0,0,0,0,0,"5","6"
"17",5,0,0,0,0,0,0,0,0,"5","6"
"18",0,0,10,5,0,1,1,0,0,"0","1"
"19",0,0,0,0,0,0,2,0,0,"0","1"
"20",0,0,1,5,0,1,0,0,0,"0","1"
"21",0,0,0,1,0,0,0,0,0,"0","1"
"22",0,0,0,3,0,0,0,0,0,"0","1"
"23",1,0,0,0,1,0,0,0,1,"5","6"
"24",1,0,0,0,0,0,0,0,0,"5","6"
"25",0,0,0,0,0,0,0,0,0,"0","1"
"26",2,0,0,0,0,0,0,0,0,"5","6"
"27",0,0,0,0,0,0,0,0,0,"0","1"
"28",0,0,3,0,0,1,7,0,0,"0","1"
"29",41,4,0,0,1,0,0,0,0,"5","6"
"30",3,0,0,0,0,0,0,0,0,"5","6"
"31",0,0,9,0,0,0,2,0,0,"0","1"
"32",11,1,0,0,0,3,0,0,1,"5","6"
"33",0,0,0,0,1,0,0,0,0,"0","1"
"34",0,1,5,0,0,0,0,5,0,"0","1"
"35",2,0,0,0,0,0,0,0,1,"5","6"
"36",41,4,0,0,0,0,0,0,0,"5","6"
"37",0,0,0,0,0,0,0,0,0,"0","1"
"38",0,0,0,0,0,0,0,3,0,"0","1"
"39",0,0,0,0,0,0,0,0,0,"0","1"
"40",1,0,0,0,0,0,0,0,0,"5","6"
"41",0,0,0,0,0,0,1,0,0,"0","1"
"42",1,0,0,0,3,0,0,0,1,"5","6"
"43",2,0,0,0,1,0,0,0,1,"5","6"
"44",0,0,0,0,1,0,0,0,0,"0","1"
"45",0,0,1,0,0,0,0,0,0,"0","1"
"46",0,0,1,0,0,0,0,0,0,"0","1"
"47",1,0,0,0,0,0,0,0,0,"5","6"
"48",1,0,0,0,1,0,0,0,0,"3","4"
"49",0,0,0,0,3,0,1,0,0,"0","1"
"50",1,0,0,0,0,0,0,0,0,"5","6"
"51",0,0,0,0,0,0,0,4,0,"0","1"
"52",0,0,0,0,0,0,0,0,0,"0","1"
"53",1,0,0,0,0,0,0,0,0,"5","6"
"54",1,0,0,0,0,0,0,0,0,"5","6"
"55",0,0,0,0,0,0,0,0,0,"0","1"
"56",0,0,0,3,0,0,0,0,0,"0","1"
"57",1,0,0,0,0,0,0,0,0,"5","6"
"58",1,0,0,0,0,0,0,0,0,"5","6"
"59",0,0,0,0,0,0,0,0,0,"0","1"
"60",0,0,0,0,0,0,0,0,0,"0","1"
"61",1,0,0,0,0,0,0,0,0,"5","6"
"62",0,0,1,0,0,0,0,0,0,"0","1"
"63",0,0,0,0,0,0,0,0,0,"0","1"
"64",0,0,0,0,0,0,0,0,0,"0","1"
"65",2,0,0,0,0,0,0,0,0,"5","6"
"66",0,0,0,0,0,0,0,0,0,"0","1"
"67",0,0,0,0,0,0,0,0,0,"0","1"
"68",0,0,0,2,0,0,0,0,0,"0","1"
"69",1,0,0,0,0,0,0,0,0,"5","6"
"70",1,0,0,0,0,0,0,0,0,"5","6"
"71",0,0,0,0,2,0,0,0,0,"0","1"
"72",1,0,0,0,0,0,0,0,0,"5","6"
"73",1,1,0,0,0,0,0,0,0,"3","4"
"74",1,0,0,0,0,0,0,0,0,"5","6"
"75",0,0,0,0,0,0,0,0,0,"0","1"
"76",0,1,5,0,0,0,0,5,0,"0","1"
"77",1,0,0,0,0,0,0,0,0,"5","6"
"78",0,0,0,0,0,0,0,0,0,"0","1"
"79",0,0,0,0,0,0,0,0,0,"0","1"
"80",0,3,0,0,0,2,0,0,0,"0","1"
"81",0,0,3,0,0,1,7,0,0,"0","1"
"82",0,0,0,0,1,0,0,0,0,"0","1"
"83",1,0,0,0,0,0,0,0,0,"5","6"
"84",1,0,0,0,0,0,0,0,0,"5","6"
"85",0,0,1,0,0,0,0,0,0,"0","1"
"86",4,0,0,0,0,0,0,0,0,"5","6"
"87",10,0,0,0,0,0,0,0,0,"5","6"
"88",0,0,2,0,0,0,0,0,0,"0","1"
"89",0,0,4,0,0,0,0,0,0,"0","1"
"90",0,0,0,0,0,1,7,0,0,"0","1"
"91",1,0,0,0,0,0,0,0,0,"5","6"
"92",0,0,0,1,0,0,0,0,0,"0","1"
"93",0,0,0,0,0,0,0,0,0,"0","1"
"94",0,0,5,3,0,0,0,5,0,"0","1"
"95",0,0,0,0,1,0,0,0,0,"0","1"
"96",2,0,0,0,0,0,0,0,0,"5","6"
"97",0,1,0,0,0,3,0,0,0,"0","1"
"98",0,0,0,0,0,0,7,0,0,"0","1"
"99",0,0,0,0,0,0,0,2,0,"0","1"
"100",0,0,3,0,0,1,7,0,0,"0","1"
"101",0,0,0,0,0,0,0,0,0,"0","1"
"102",0,0,0,0,0,0,0,0,0,"0","1"
"103",1,2,0,0,0,0,0,0,0,"3","4"
"104",0,0,0,0,0,0,0,0,0,"0","1"
"105",0,0,0,0,0,0,0,0,0,"0","1"
"106",0,0,0,0,0,0,0,0,0,"0","1"
"107",1,9,0,0,0,0,0,0,5,"5","6"
"108",1,0,0,0,0,0,0,0,0,"5","6"
"109",0,0,0,4,0,0,0,0,0,"0","1"
"110",0,0,0,0,0,1,7,0,0,"0","1"
"111",0,0,1,0,0,0,0,0,0,"0","1"
"112",1,0,0,0,0,0,0,0,0,"5","6"
"113",1,0,0,0,0,0,0,0,0,"5","6"
"114",0,0,0,0,0,0,0,0,0,"0","1"
"115",11,0,0,0,0,3,1,0,1,"5","6"
"116",0,0,0,0,0,0,0,0,0,"0","1"
"117",2,0,0,0,0,0,0,0,3,"5","6"
"118",0,0,0,0,0,0,0,0,0,"0","1"
"119",0,0,0,3,0,0,0,5,0,"0","1"
"120",0,0,0,0,0,0,0,2,0,"0","1"
"121",41,4,0,0,1,0,0,0,0,"5","6"
"122",0,0,0,0,0,0,0,0,0,"0","1"
"123",1,0,0,0,0,0,0,0,0,"5","6"
"124",1,0,0,0,0,0,0,0,0,"5","6"
"125",0,0,0,0,0,0,0,0,0,"0","1"
"126",0,0,1,0,0,2,1,0,0,"0","1"
"127",0,0,5,0,0,0,0,0,0,"0","1"
"128",0,0,3,0,0,1,7,0,0,"0","1"
"129",0,0,0,0,0,0,0,0,0,"0","1"
"130",0,0,0,0,1,0,0,0,0,"0","1"
"131",11,0,0,0,0,3,1,0,1,"5","6"
"132",0,0,10,0,0,0,0,0,0,"0","1"
"133",0,0,0,2,0,0,0,0,0,"0","1"
"134",1,0,0,0,0,0,0,0,0,"5","6"
"135",1,0,0,0,0,0,0,0,0,"5","6"
"136",1,0,0,0,0,0,0,0,0,"5","6"
"137",0,0,0,0,0,0,0,0,0,"0","1"
"138",0,0,0,0,0,0,0,0,0,"0","1"
"139",0,0,0,1,0,0,0,0,0,"0","1"
"140",0,0,1,0,0,0,0,0,0,"0","1"
"141",0,0,0,0,0,2,0,0,0,"0","1"
"142",41,4,0,0,0,0,0,0,0,"5","6"
"143",0,0,0,0,0,0,0,0,1,"0","1"
"144",0,0,0,0,0,0,0,1,0,"0","1"
"145",1,0,0,0,0,0,0,0,0,"5","6"
"146",0,0,0,0,0,0,0,0,0,"0","1"
"147",2,0,0,0,0,0,0,0,0,"5","6"
"148",2,0,0,0,0,0,0,0,0,"5","6"
"149",0,0,0,0,0,0,0,1,0,"0","1"
"150",0,0,0,0,0,0,0,0,0,"0","1"
"151",1,0,0,0,0,0,0,0,0,"5","6"
"152",1,0,0,0,0,0,0,0,0,"5","6"
"153",0,0,0,1,0,0,0,0,0,"0","1"
"154",0,0,0,0,0,0,0,8,0,"0","1"
"155",41,4,0,0,0,0,0,0,0,"5","6"
"156",1,0,0,0,0,0,0,0,0,"5","6"
"157",1,0,0,0,0,0,0,0,0,"5","6"
"158",0,0,0,0,0,0,2,0,0,"0","1"
"159",1,0,0,0,0,0,0,0,0,"5","6"
"160",0,0,0,0,0,0,0,0,0,"0","1"
"161",0,1,5,0,0,0,0,5,0,"0","1"
"162",0,0,0,0,0,0,0,0,0,"0","1"
"163",0,0,0,0,3,0,0,0,0,"0","1"
"164",0,0,0,0,0,0,0,0,3,"0","1"
"165",0,0,0,0,0,0,0,0,0,"0","1"
"166",1,0,0,0,0,0,0,0,0,"5","6"
"167",0,0,0,0,0,0,0,0,0,"0","1"
"168",0,0,0,3,0,0,0,5,0,"0","1"
"169",2,0,0,0,0,0,0,0,0,"5","6"
"170",2,0,0,0,0,0,0,0,0,"5","6"
"171",0,0,0,0,0,0,0,0,0,"0","1"
"172",0,0,0,0,0,0,0,0,0,"0","1"
"173",0,0,0,0,0,0,0,0,0,"0","1"
"174",1,0,0,0,0,0,0,0,3,"5","6"
"175",0,0,0,0,1,0,0,0,2,"0","1"
"176",0,0,10,0,0,1,1,0,0,"0","1"
